,Price,equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,ALI_F,SMA_5,PPO_12_26,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10
2024-02-09,9100.0,2626.184033203125,1331.469970703125,76.83999633789062,1.847000002861023,2.3394999504089355,945.0,2182.0,9074.0,0.7539544766432819,54.18443313926265,1.2235817575083408,85.0,0.004789350180132601
2024-02-12,9100.0,2643.775927734375,1330.06005859375,76.91999816894531,1.7680000066757202,2.367300033569336,933.0,2191.25,9088.0,0.7587565590790528,54.18443313926265,2.0179372197309364,85.0,-0.03237861417800758
2024-02-13,9100.0,2649.639892578125,1328.5,77.87000274658203,1.6890000104904175,2.3945999145507812,933.0,2186.0,9102.0,0.7537511023240007,54.18443313926265,2.0179372197309364,79.28571428571429,-0.044640180126521045
2024-02-14,9120.0,2620.419921875,1340.7900390625,76.63999938964844,1.6089999675750732,2.3169000148773193,926.0,2202.0,9104.0,0.7587627936505402,54.82384503829742,-0.8695652173912993,67.14285714285714,0.272583741087864
2024-02-15,9140.0,2613.800048828125,1326.0,78.02999877929688,1.5809999704360962,2.3183000087738037,929.0,2186.5,9112.0,0.7715164268111807,55.49277834064426,-0.10928961748634114,55.0,0.6957586414857602
2024-02-16,9130.0,2648.760009765625,1327.6600341796875,79.19000244140625,1.6089999675750732,2.3359999656677246,929.0,2176.25,9118.0,0.763783092415615,55.05382762688568,1.7837235228539638,50.714285714285715,0.4874430424225551
2024-02-19,9150.0,2680.260009765625,1331.5799560546875,78.4325008392334,1.5842499732971191,2.292050004005432,926.0,2155.4375,9128.0,0.7664861982252934,55.8067495025144,1.3289036544850585,52.142857142857146,0.6760918389491906
2024-02-20,9120.0,2657.7900390625,1333.3399658203125,78.18000030517578,1.5759999752044678,2.277400016784668,925.0,2148.5,9132.0,0.7334372175977596,54.336388702422006,0.9966777408637828,34.285714285714285,0.3736216339874332
2024-02-21,9130.0,2653.31005859375,1333.75,77.91000366210938,1.7730000019073486,2.2860000133514404,922.0,2175.5,9134.0,0.7079178700739855,54.76422990390292,0.2195389681668436,31.428571428571427,0.5341000379587655
2024-02-22,9140.0,2664.27001953125,1332.8699951171875,78.61000061035156,1.7319999933242798,2.334700107574463,922.0,2144.25,9134.0,0.6885753013199236,55.21610550457416,0.439560439560438,19.285714285714285,0.8693775634053296
2024-02-23,9130.0,2667.699951171875,1327.1700439453125,76.48999786376953,1.6030000448226929,2.276700019836426,922.0,2131.25,9134.0,0.6567638688365706,54.62842636187228,0.3296703296703285,15.714285714285714,0.609320408960258
2024-02-26,9130.0,2647.080078125,1330.0,77.58000183105469,1.659000039100647,2.3055999279022217,922.0,2129.25,9130.0,0.6243291805642512,54.62842636187228,0.3296703296703285,15.714285714285714,0.4475406267817945
2024-02-27,9100.0,2625.050048828125,1331.719970703125,78.87000274658203,1.6150000095367432,2.344399929046631,922.0,2131.75,9126.0,0.5655135782179083,52.67771914961501,0.0,12.142857142857142,0.022490658910442107
2024-02-28,9140.0,2652.2900390625,1331.7900390625,78.54000091552734,1.8849999904632568,2.2709999084472656,801.0,2132.0,9128.0,0.5480197616329026,54.9857764308937,0.21929824561404132,14.285714285714286,0.16474379397121197
2024-02-29,9140.0,2642.360107421875,1333.3800048828125,78.26000213623047,1.8600000143051147,2.30430006980896,795.0,2167.5,9128.0,0.5280388097085268,54.9857764308937,0.0,14.285714285714286,0.20796154977141157
2024-03-01,9127.5,2650.3375854492188,1335.199951171875,79.97000122070312,1.8350000381469727,2.6143999099731445,790.0,2188.5,9127.5,0.4954080744145351,54.0306940163715,-0.027382256297914243,15.178571428571429,-0.11144587283499874
2024-03-04,9090.0,2674.27001953125,1330.9000244140625,78.73999786376953,1.9160000085830688,2.585700035095215,789.0,2174.75,9119.5,0.43137576437654346,51.15974928260867,-0.6557377049180357,17.857142857142858,-0.5501629209162644
2024-03-05,9100.0,2649.39990234375,1328.93994140625,78.1500015258789,1.9570000171661377,2.5327999591827393,785.0,2166.25,9119.5,0.3850524710421445,51.89382112178434,-0.21929824561403022,17.142857142857142,-0.36144144777529874
2024-03-06,9100.0,2641.489990234375,1333.4300537109375,79.12999725341797,1.9290000200271606,2.5539000034332275,802.0,2189.75,9111.5,0.3443747981641964,51.89382112178435,-0.3285870755750264,15.714285714285714,-0.25137889532896907
2024-03-07,9090.0,2647.6201171875,1327.0899658203125,78.93000030517578,1.8179999589920044,2.554800033569336,813.0,2201.5,9101.5,0.29982384011746843,51.00474161956704,-0.5470459518599591,15.714285714285714,-0.5016824970255627
2024-03-08,9090.0,2680.35009765625,1321.1800537109375,78.01000213623047,1.8049999475479126,2.5271999835968018,814.0,2193.5,9094.0,0.26150461967089794,51.00474161956705,-0.4381161007667056,14.285714285714286,-0.5584719252627579
2024-03-11,9100.0,2659.840087890625,1315.97998046875,77.93000030517578,1.7589999437332153,2.5804998874664307,808.0,2210.5,9096.0,0.23726785985717316,51.95930246974152,-0.3285870755750264,12.857142857142858,-0.21275197088136366
2024-03-12,9090.0,2681.81005859375,1310.5400390625,77.55999755859375,1.7139999866485596,2.586400032043457,800.0,2216.5,9094.0,0.20681142613930573,50.89152750054021,-0.1098901098901095,12.857142857142858,-0.37016181037248685
2024-03-13,9100.0,2693.570068359375,1311.1500244140625,79.72000122070312,1.6579999923706055,2.6614999771118164,787.0,2211.0,9094.0,0.1893598515601613,51.9548156441206,-0.4376367614879695,12.857142857142858,-0.08272385285771833
2024-03-14,9100.0,2718.760009765625,1313.6500244140625,81.26000213623047,1.7410000562667847,2.7032999992370605,793.0,2193.0,9096.0,0.17352919971968694,51.954815644120615,-0.4376367614879695,12.142857142857142,0.042384752749022425
2024-03-15,9100.0,2666.840087890625,1321.9200439453125,81.04000091552734,1.6549999713897705,2.7207999229431152,792.0,2214.0,9098.0,0.15914885018069405,51.9548156441206,-0.3012873185428644,12.142857142857142,0.08971238661095526
2024-03-18,9100.0,2685.840087890625,1329.3399658203125,82.72000122070312,1.7029999494552612,2.7572999000549316,799.0,2213.5,9098.0,0.14606861344052868,51.9548156441206,0.11001100110010764,10.0,0.10091801986256854
2024-03-19,9050.0,2656.169921875,1336.0899658203125,83.47000122070312,1.74399995803833,2.762200117111206,795.0,2203.5,9090.0,0.09030821934709629,45.35106357374095,-0.5494505494505475,10.714285714285714,-0.2218540410674592
2024-03-20,9030.0,2690.139892578125,1337.02001953125,81.68000030517578,1.6990000009536743,2.7332000732421875,794.0,2212.75,9076.0,0.02800833037754749,42.996847908988656,-0.7692307692307665,12.142857142857142,-0.6519104258963395
