,Price,equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10
2024-01-11,69.65529411764706,2886.64990234375,7.170400142669678,72.0199966430664,3.0969998836517334,2.114300012588501,1075.0,69.74847058823529,0.009887468730145729,48.97412820190769,1.6272163957500085,0.22033613445378006,-2.8238990367343177
2024-01-12,69.61647058823529,2881.97705078125,7.103099822998047,72.68000030517578,3.312999963760376,2.120300054550171,1076.0,69.69411764705883,-0.01632473882062108,48.58395171837523,-0.7746998457307752,0.22310924369747806,-2.946122704607241
2024-01-15,69.5,2886.2900390625,7.100599765777588,72.47000122070312,3.0032500624656677,2.121500074863434,1073.75,69.63976470588236,-0.054981086509836324,47.364804741879816,-0.775988041050113,0.23142857142857004,-3.0464757774091424
2024-01-16,69.5,2893.989013671875,7.0970001220703125,72.4000015258789,2.9000000953674316,2.1219000816345215,1073.0,69.59317647058825,-0.07276096721462737,47.364804741879816,-0.7209599354665142,0.19714285714285548,-2.8105769637909077
2024-01-17,69.55333333333333,2833.614990234375,7.116499900817871,72.55999755859375,2.869999885559082,2.1354000568389893,1070.0,69.56501960784314,-0.06644623053496732,48.0570211780882,-0.589643131386175,0.16666666666666533,-2.1403840887842733
2024-01-18,69.60666666666667,2845.780029296875,7.114500045776367,74.08000183105469,2.697000026702881,2.183500051498413,1070.0,69.55529411764705,-0.04736108767386982,48.78240774776084,-0.4581805130275729,0.05476190476190469,-1.3534520863920818
2024-01-19,69.66,2832.279052734375,7.114999771118164,73.41000366210938,2.5190000534057617,2.1628000736236572,1070.0,69.564,-0.022469529959120157,49.541271217144015,-0.3265718373874349,0.05025210084033611,-0.5903024411959947
2024-01-22,69.82,2756.340087890625,7.107100009918213,75.19000244140625,2.4189999103546143,2.237799882888794,1070.0,69.628,0.027270992227156645,51.84631892677182,0.0691329713688349,0.05890756302520929,0.09374081740203621
2024-01-23,69.865,2770.97607421875,7.192699909210205,74.37000274658203,2.450000047683716,2.210099935531616,1070.0,69.701,0.062497571314439095,52.503496102554486,0.1893779629848158,0.05934873949579814,0.683236621610142
2024-01-24,69.91,2820.77197265625,7.077600002288818,75.08999633789062,2.6410000324249268,2.2095000743865967,1083.0,69.77233333333334,0.08766624625798253,53.191455488462054,0.3097569209993267,0.05978991596638598,1.180463394094346
2024-01-25,69.955,2906.10888671875,7.081999778747559,77.36000061035156,2.571000099182129,2.264400005340576,1077.0,69.842,0.10581714272539183,53.91038925259365,0.43027006941747103,0.060231092436974824,1.5947413106474855
2024-01-26,70.0,2910.222900390625,7.081099987030029,78.01000213623047,2.7119998931884766,2.294100046157837,1077.0,69.91,0.11903378874642222,54.66032971146377,0.5509176327441301,0.05512605042016767,1.9374239755421812
2024-01-29,70.0,2883.360107421875,7.086599826812744,76.77999877929688,2.490000009536743,2.2284998893737793,1077.0,69.946,0.11900560887905931,54.66032971146377,0.7194244604316502,0.05235294117647068,1.9014828861316282
2024-01-30,70.0,2830.527099609375,7.084499835968018,77.81999969482422,2.0769999027252197,2.260699987411499,1079.0,69.973,0.11176514831031913,54.66032971146377,0.7194244604316502,0.049579831932772676,1.7139176326335246
2024-01-31,70.0,2788.548095703125,7.094099998474121,75.8499984741211,2.0999999046325684,2.183300018310547,963.0,69.991,0.10103524587907833,54.66032971146377,0.6421930413112342,0.046806722689075694,1.4813756986903464
2024-02-01,70.0,2770.739990234375,7.1006999015808105,73.81999969482422,2.049999952316284,2.1947999000549316,970.0,70.0,0.08905543217812856,54.66032971146377,0.5650799731826472,0.04403361344537769,1.2515743894690132
2024-02-02,70.0,2730.152099609375,7.088500022888184,72.27999877929688,2.0789999961853027,2.1475000381469727,967.0,70.0,0.07712160744252376,54.66032971146377,0.48808498420902513,0.03571428571428571,1.0437852730176473
2024-02-05,70.0,2702.18505859375,7.112599849700928,72.77999877929688,2.0820000171661377,2.209199905395508,967.0,70.0,0.06593706636974209,54.66032971146377,0.25780578630765216,0.03571428571428571,0.8638910641950304
2024-02-06,70.0,2789.486083984375,7.108500003814697,73.30999755859375,2.009000062942505,2.2172999382019043,969.0,70.0,0.05583959040257703,54.66032971146377,0.19322980032920878,0.031904761904762324,0.7117624274771366
