,Trade Price
2024-04-10,1593.7
2024-04-11,1593.0
2024-04-12,1593.5384615384614
2024-04-13,1594.076923076923
2024-04-14,1594.6153846153845
2024-04-15,1595.1538461538462
2024-04-16,1595.6923076923076
2024-04-17,1596.2307692307693
2024-04-18,1596.7692307692307
2024-04-19,1597.3076923076924
2024-04-20,1597.8461538461538
2024-04-21,1598.3846153846155
2024-04-22,1598.923076923077
2024-04-23,1599.4615384615386
2024-04-24,1600.0
2024-04-25,1600.0
2024-04-26,1600.0
2024-04-27,1600.0
2024-04-28,1600.0
2024-04-29,1600.0
2024-04-30,1600.0
2024-05-01,1600.0
2024-05-02,1600.0
2024-05-03,1600.0
2024-05-04,1600.0
2024-05-05,1600.0
2024-05-06,1600.0
2024-05-07,1600.0
2024-05-08,1596.6666666666667
2024-05-09,1593.3333333333333
2024-05-10,1590.0
2024-05-11,1577.0
2024-05-12,1564.0
2024-05-13,1551.0
2024-05-14,1551.0
2024-05-15,1550.0
2024-05-16,1575.0
2024-05-17,1600.0
2024-05-18,1600.0
2024-05-19,1600.0
2024-05-20,1600.0
2024-05-21,1600.0
2024-05-22,1600.0
2024-05-23,1602.375
2024-05-24,1604.75
2024-05-25,1607.125
2024-05-26,1609.5
2024-05-27,1611.875
2024-05-28,1614.25
2024-05-29,1616.625
2024-05-30,1619.0
2024-05-31,1615.4545454545455
2024-06-01,1611.909090909091
2024-06-02,1608.3636363636363
2024-06-03,1604.8181818181818
2024-06-04,1601.2727272727273
2024-06-05,1597.7272727272727
2024-06-06,1594.1818181818182
2024-06-07,1590.6363636363637
2024-06-08,1587.090909090909
2024-06-09,1583.5454545454545
2024-06-10,1580.0
2024-06-11,1580.0
2024-06-12,1573.0
2024-06-13,1576.5
2024-06-14,1580.0
2024-06-15,1578.3333333333333
2024-06-16,1576.6666666666667
2024-06-17,1575.0
2024-06-18,1550.0
2024-06-19,1540.0
2024-06-20,1535.0
2024-06-21,1530.0
2024-06-22,1530.3333333333333
2024-06-23,1530.6666666666667
2024-06-24,1531.0
2024-06-25,1570.6666666666667
2024-06-26,1610.3333333333333
2024-06-27,1650.0
2024-06-28,1650.0
2024-06-29,1650.0
2024-06-30,1650.0
2024-07-01,1650.0
2024-07-02,1650.0
2024-07-03,1625.0
2024-07-04,1600.0
2024-07-05,1601.8
2024-07-06,1603.6
2024-07-07,1605.4
2024-07-08,1607.2
2024-07-09,1609.0
2024-07-10,1622.6666666666667
2024-07-11,1636.3333333333333
2024-07-12,1650.0
2024-07-13,1650.0
2024-07-14,1650.0
2024-07-15,1650.0
2024-07-16,1650.0
2024-07-17,1590.0
2024-07-18,1530.0
2024-07-19,1560.0
2024-07-20,1590.0
2024-07-21,1620.0
2024-07-22,1650.0
2024-07-23,1555.0
2024-07-24,1550.0
2024-07-25,1650.0
2024-07-26,1690.0
2024-07-27,1636.6666666666667
2024-07-28,1583.3333333333333
2024-07-29,1530.0
2024-07-30,1536.6666666666667
2024-07-31,1543.3333333333333
2024-08-01,1550.0
2024-08-02,1550.7407407407406
2024-08-03,1551.4814814814815
2024-08-04,1552.2222222222222
2024-08-05,1552.962962962963
2024-08-06,1553.7037037037037
2024-08-07,1554.4444444444443
2024-08-08,1555.1851851851852
2024-08-09,1555.9259259259259
2024-08-10,1556.6666666666667
2024-08-11,1557.4074074074074
2024-08-12,1558.148148148148
2024-08-13,1558.888888888889
2024-08-14,1559.6296296296296
2024-08-15,1560.3703703703704
2024-08-16,1561.111111111111
2024-08-17,1561.851851851852
2024-08-18,1562.5925925925926
2024-08-19,1563.3333333333333
2024-08-20,1564.0740740740741
2024-08-21,1564.8148148148148
2024-08-22,1565.5555555555557
2024-08-23,1566.2962962962963
2024-08-24,1567.037037037037
2024-08-25,1567.7777777777778
2024-08-26,1568.5185185185185
2024-08-27,1569.2592592592594
2024-08-28,1570.0
2024-08-29,1585.0
2024-08-30,1600.0
2024-08-31,1600.0
2024-09-01,1600.0
2024-09-02,1600.0
2024-09-03,1600.0
2024-09-04,1600.0
2024-09-05,1600.0
2024-09-06,1601.4285714285713
2024-09-07,1602.857142857143
2024-09-08,1604.2857142857142
2024-09-09,1605.7142857142858
2024-09-10,1607.142857142857
2024-09-11,1608.5714285714287
2024-09-12,1610.0
2024-09-13,1607.142857142857
2024-09-14,1604.2857142857142
2024-09-15,1601.4285714285713
2024-09-16,1598.5714285714287
2024-09-17,1595.7142857142858
2024-09-18,1592.857142857143
2024-09-19,1590.0
2024-09-20,1635.0
2024-09-21,1633.5294117647059
2024-09-22,1632.0588235294117
2024-09-23,1630.5882352941176
2024-09-24,1629.1176470588234
2024-09-25,1627.6470588235295
2024-09-26,1626.1764705882354
2024-09-27,1624.7058823529412
2024-09-28,1623.235294117647
2024-09-29,1621.764705882353
2024-09-30,1620.2941176470588
2024-10-01,1618.8235294117646
2024-10-02,1617.3529411764705
2024-10-03,1615.8823529411766
2024-10-04,1614.4117647058824
2024-10-05,1612.9411764705883
2024-10-06,1611.4705882352941
2024-10-07,1610.0
2024-10-08,1620.0
2024-10-09,1626.6666666666667
2024-10-10,1633.3333333333333
2024-10-11,1640.0
2024-10-12,1652.0
2024-10-13,1664.0
2024-10-14,1676.0
2024-10-15,1688.0
2024-10-16,1700.0
2024-10-17,1700.0
2024-10-18,1706.0
2024-10-19,1712.0
2024-10-20,1718.0
2024-10-21,1724.0
2024-10-22,1730.0
2024-10-23,1736.6666666666667
2024-10-24,1743.3333333333333
2024-10-25,1750.0
2024-10-26,1750.3333333333333
2024-10-27,1750.6666666666667
2024-10-28,1751.0
2024-10-29,1790.0
2024-10-30,1785.0
2024-10-31,1900.0
2024-11-01,1900.0
2024-11-02,1900.0
2024-11-03,1900.0
2024-11-04,1900.0
2024-11-05,1900.0
2024-11-06,1905.0
2024-11-07,1910.0
2024-11-08,1949.0
2024-11-09,1949.25
2024-11-10,1949.5
2024-11-11,1949.75
2024-11-12,1950.0
2024-11-13,1960.0
2024-11-14,2000.0
2024-11-15,2020.0
2024-11-16,2040.0
2024-11-17,2060.0
2024-11-18,2080.0
2024-11-19,2100.0
2024-11-20,2100.0
2024-11-21,2160.0
2024-11-22,2220.0
2024-11-23,2246.6666666666665
2024-11-24,2273.3333333333335
2024-11-25,2300.0
2024-11-26,2300.0
2024-11-27,2303.0
2024-11-28,2306.0
2024-11-29,2301.0
2024-11-30,2305.75
2024-12-01,2310.5
2024-12-02,2315.25
2024-12-03,2320.0
2024-12-04,2400.0
2024-12-05,2310.0
2024-12-06,2280.0
2024-12-07,2281.6666666666665
2024-12-08,2283.3333333333335
2024-12-09,2285.0
2024-12-10,2308.5714285714284
2024-12-11,2332.1428571428573
2024-12-12,2355.714285714286
2024-12-13,2379.285714285714
2024-12-14,2402.8571428571427
2024-12-15,2426.4285714285716
2024-12-16,2450.0
2024-12-17,2325.0
2024-12-18,2480.0
2024-12-19,2500.0
2024-12-20,2500.0
2024-12-21,2520.0
2024-12-22,2540.0
2024-12-23,2560.0
2024-12-24,2600.0
2024-12-25,2666.6666666666665
2024-12-26,2733.3333333333335
2024-12-27,2800.0
2024-12-28,2800.1
2024-12-29,2800.2
2024-12-30,2800.3
2024-12-31,2800.4
2025-01-01,2800.5
2025-01-02,2800.6
2025-01-03,2800.7
2025-01-04,2800.8
2025-01-05,2800.9
2025-01-06,2801.0
2025-01-07,2900.0
2025-01-08,3100.0
2025-01-09,3115.0
2025-01-10,3130.0
2025-01-11,3147.5
2025-01-12,3165.0
2025-01-13,3182.5
2025-01-14,3200.0
2025-01-15,3200.0
2025-01-16,3275.0
2025-01-17,3350.0
2025-01-18,3350.0
2025-01-19,3350.0
2025-01-20,3350.0
2025-01-21,3357.1428571428573
2025-01-22,3364.285714285714
2025-01-23,3371.4285714285716
2025-01-24,3378.5714285714284
2025-01-25,3385.714285714286
2025-01-26,3392.8571428571427
2025-01-27,3400.0
2025-01-28,3550.0
2025-01-29,3550.0
2025-01-30,3600.0
2025-01-31,3620.0
2025-02-01,3640.0
2025-02-02,3660.0
2025-02-03,3680.0
2025-02-04,3700.0
2025-02-05,3720.0
2025-02-06,3850.0
2025-02-07,4000.0
2025-02-08,4000.0
2025-02-09,4000.0
2025-02-10,4000.0
2025-02-11,4000.0
2025-02-12,4000.0
2025-02-13,4000.0
2025-02-14,4000.0
2025-02-15,3987.5
2025-02-16,3975.0
2025-02-17,3962.5
2025-02-18,3950.0
2025-02-19,3950.0
2025-02-20,3950.0
2025-02-21,3950.0
2025-02-22,3928.5714285714284
2025-02-23,3907.1428571428573
2025-02-24,3885.714285714286
2025-02-25,3864.285714285714
2025-02-26,3842.8571428571427
2025-02-27,3821.4285714285716
2025-02-28,3800.0
2025-03-01,3796.6666666666665
2025-03-02,3793.3333333333335
2025-03-03,3790.0
2025-03-04,3811.4285714285716
2025-03-05,3832.8571428571427
2025-03-06,3854.285714285714
2025-03-07,3875.714285714286
2025-03-08,3897.1428571428573
2025-03-09,3918.5714285714284
2025-03-10,3940.0
2025-03-11,3955.0
2025-03-12,4090.0
2025-03-13,4070.0
2025-03-14,4050.0
2025-03-15,4000.0
2025-03-16,3950.0
2025-03-17,3900.0
2025-03-18,3974.0
2025-03-19,4048.0
2025-03-20,4048.4
2025-03-21,4048.8
2025-03-22,4049.2
2025-03-23,4049.6
2025-03-24,4050.0
2025-03-25,4090.0
2025-03-26,4150.0
2025-03-27,3950.0
2025-03-28,3750.0
2025-03-29,3550.0
2025-03-30,3350.0
2025-03-31,3150.0
2025-04-01,3249.375
2025-04-02,3348.75
2025-04-03,3448.125
2025-04-04,3547.5
2025-04-05,3646.875
2025-04-06,3746.25
2025-04-07,3845.625
2025-04-08,3945.0
2025-04-09,3901.0
2025-04-10,4001.0
2025-04-11,4020.8
2025-04-12,4040.6
2025-04-13,4060.4
2025-04-14,4080.2
2025-04-15,4100.0
2025-04-16,4100.0
2025-04-17,4100.0
2025-04-18,4100.0
2025-04-19,4100.0
2025-04-20,4100.0
2025-04-21,4100.0
2025-04-22,4104.761904761905
2025-04-23,4109.523809523809
2025-04-24,4114.285714285715
2025-04-25,4119.047619047619
2025-04-26,4123.809523809524
2025-04-27,4128.571428571428
2025-04-28,4133.333333333333
2025-04-29,4138.0952380952385
2025-04-30,4142.857142857143
2025-05-01,4147.619047619048
2025-05-02,4152.380952380952
2025-05-03,4157.142857142857
2025-05-04,4161.9047619047615
2025-05-05,4166.666666666667
2025-05-06,4171.428571428572
2025-05-07,4176.190476190476
2025-05-08,4180.952380952381
2025-05-09,4185.714285714285
2025-05-10,4190.476190476191
2025-05-11,4195.238095238095
2025-05-12,4200.0
2025-05-13,4350.0
2025-05-14,4150.0
2025-05-15,4298.0
2025-05-16,4200.0
2025-05-17,4231.333333333333
2025-05-18,4262.666666666667
2025-05-19,4294.0
2025-05-20,4200.0
2025-05-21,4292.0
2025-05-22,4292.0
2025-05-23,4297.0
2025-05-24,4314.666666666667
2025-05-25,4332.333333333333
2025-05-26,4350.0
2025-05-27,4350.0
2025-05-28,4350.0
2025-05-29,4350.0
2025-05-30,4350.0
2025-05-31,4375.0
2025-06-01,4400.0
2025-06-02,4425.0
2025-06-03,4450.0
2025-06-04,4475.0
2025-06-05,4500.0
2025-06-06,4510.714285714285
2025-06-07,4521.428571428572
2025-06-08,4532.142857142857
2025-06-09,4542.857142857143
2025-06-10,4553.571428571428
2025-06-11,4564.285714285715
2025-06-12,4575.0
2025-06-13,4600.0
2025-06-14,4616.666666666667
2025-06-15,4633.333333333333
2025-06-16,4650.0
2025-06-17,4700.0
2025-06-18,4750.0
2025-06-19,4741.666666666667
2025-06-20,4733.333333333333
2025-06-21,4725.0
2025-06-22,4716.666666666667
2025-06-23,4708.333333333333
2025-06-24,4700.0
2025-06-25,4700.0
2025-06-26,4700.0
2025-06-27,4700.0
2025-06-28,4700.0
2025-06-29,4700.0
2025-06-30,4700.0
2025-07-01,4700.0
2025-07-02,4700.0
2025-07-03,4700.0
2025-07-04,4700.0
2025-07-05,4700.0
2025-07-06,4700.0
2025-07-07,4700.0
2025-07-08,4737.5
2025-07-09,4775.0
2025-07-10,4812.5
2025-07-11,4850.0
2025-07-12,4862.5
2025-07-13,4875.0
2025-07-14,4887.5
2025-07-15,4900.0
2025-07-16,4900.0
2025-07-17,4900.0
2025-07-18,4900.0
2025-07-19,4900.0
2025-07-20,4900.0
2025-07-21,4900.0
2025-07-22,4900.0
2025-07-23,4900.0
2025-07-24,4900.0
2025-07-25,4906.25
2025-07-26,4912.5
2025-07-27,4918.75
2025-07-28,4925.0
2025-07-29,4931.25
2025-07-30,4937.5
2025-07-31,4943.75
2025-08-01,4950.0
2025-08-02,5000.0
2025-08-03,5050.0
2025-08-04,5100.0
2025-08-05,5105.0
2025-08-06,5110.0
2025-08-07,5115.0
2025-08-08,5120.0
2025-08-09,5125.0
2025-08-10,5130.0
2025-08-11,5135.0
2025-08-12,5140.0
2025-08-13,5145.0
2025-08-14,5150.0
2025-08-15,5150.0
2025-08-16,5166.666666666667
2025-08-17,5183.333333333333
2025-08-18,5200.0
2025-08-19,5233.333333333333
2025-08-20,5266.666666666667
2025-08-21,5300.0
2025-08-22,5350.0
2025-08-23,5350.5
2025-08-24,5351.0
2025-08-25,5351.5
2025-08-26,5352.0
2025-08-27,5400.0
2025-08-28,5375.5
2025-08-29,5351.0
2025-08-30,5351.0
2025-08-31,5351.0
2025-09-01,5351.0
2025-09-02,5367.333333333333
2025-09-03,5383.666666666667
2025-09-04,5400.0
2025-09-05,5388.0
2025-09-06,5376.0
2025-09-07,5364.0
2025-09-08,5352.0
2025-09-09,5401.0
2025-09-10,5401.0
2025-09-11,5400.857142857143
2025-09-12,5400.714285714285
2025-09-13,5400.571428571428
2025-09-14,5400.428571428572
2025-09-15,5400.285714285715
2025-09-16,5400.142857142857
2025-09-17,5400.0
2025-09-18,5404.083333333333
2025-09-19,5408.166666666667
2025-09-20,5412.25
2025-09-21,5416.333333333333
2025-09-22,5420.416666666667
2025-09-23,5424.5
2025-09-24,5428.583333333333
2025-09-25,5432.666666666667
2025-09-26,5436.75
2025-09-27,5440.833333333333
2025-09-28,5444.916666666667
2025-09-29,5449.0
2025-09-30,5440.375
2025-10-01,5431.75
2025-10-02,5423.125
2025-10-03,5414.5
2025-10-04,5405.875
2025-10-05,5397.25
2025-10-06,5388.625
2025-10-07,5380.0
2025-10-08,5380.0
2025-10-09,5450.0
2025-10-10,5250.0
2025-10-11,5250.0
2025-10-12,5250.0
2025-10-13,5250.0
2025-10-14,5250.0
2025-10-15,5250.0
2025-10-16,5250.0
2025-10-17,5260.0
2025-10-18,5270.0
2025-10-19,5280.0
2025-10-20,5290.0
2025-10-21,5300.0
2025-10-22,5300.0
2025-10-23,5300.0
2025-10-24,5398.0
2025-10-25,5398.4
2025-10-26,5398.8
2025-10-27,5399.2
2025-10-28,5399.6
2025-10-29,5400.0
2025-10-30,5396.428571428572
2025-10-31,5392.857142857143
2025-11-01,5389.285714285715
2025-11-02,5385.714285714285
2025-11-03,5382.142857142857
2025-11-04,5378.571428571428
2025-11-05,5375.0
2025-11-06,5400.0
2025-11-07,5400.0
2025-11-08,5400.0
2025-11-09,5400.0
2025-11-10,5400.0
2025-11-11,5400.0
2025-11-12,5400.0
2025-11-13,5400.0
2025-11-14,5400.0
2025-11-15,5400.0
2025-11-16,5400.0
2025-11-17,5400.0
2025-11-18,5375.0
2025-11-19,5350.0
2025-11-20,5325.0
2025-11-21,5300.0
2025-11-22,5275.0
2025-11-23,5250.0
2025-11-24,5225.0
2025-11-25,5200.0
2025-11-26,5193.75
2025-11-27,5187.5
2025-11-28,5181.25
2025-11-29,5175.0
2025-11-30,5168.75
2025-12-01,5162.5
2025-12-02,5156.25
2025-12-03,5150.0
2025-12-04,5150.0
